City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Bluff,NZ,60.64,few clouds,-46.6,168.3333,Bluff Homestead - Guesthouse & Campervan Park
3,Klaksvik,FO,45.52,broken clouds,62.2266,-6.589,Airbnb rooms
5,Kapaa,US,76.98,overcast clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
6,East London,ZA,70.74,clear sky,-33.0153,27.9116,Tu Casa
7,Izumo,JP,53.55,broken clouds,35.3667,132.7667,Toyoko-Inn Izumoshi ekimae
8,Alofi,NU,78.69,broken clouds,-19.0595,-169.9187,Taloa Heights
9,Monkey Bay,MW,73.38,overcast clouds,-14.0728,34.9201,Monkey Bay Beach Lodge
11,Busselton,AU,77.94,clear sky,-33.65,115.3333,Observatory Guest House
14,Rikitea,PF,79.84,clear sky,-23.1203,-134.9692,People ThankYou
16,Matay,EG,58.15,overcast clouds,28.419,30.7792,Nag Aespen
17,Castro,BR,57.51,overcast clouds,-24.7911,-50.0119,CHACARA BAILLY
19,Andenes,NO,42.78,light rain,69.3143,16.1194,Hotell Marena
20,Mataura,NZ,60.98,few clouds,-46.1927,168.8643,Ellie's Villa
21,Wanxian,CN,52.86,overcast clouds,30.8039,108.3897,7Days Inn Chongqing Shiqiaopu
22,Beitbridge,ZW,71.44,clear sky,-22.2167,30.0,Beitbridge Express Hotel
26,Bethel,US,45.93,overcast clouds,41.3712,-73.414,Courtyard by Marriott Danbury
27,Ushuaia,AR,46.06,few clouds,-54.8,-68.3,Albatross Hotel
30,Dunedin,NZ,59.81,overcast clouds,-45.8742,170.5036,Scenic Hotel Southern Cross
31,Hobart,AU,74.23,broken clouds,-42.8794,147.3294,St Ives Hobart Accommodation Tasmania
32,Sitka,US,42.69,overcast clouds,57.0531,-135.33,Westmark Sitka
33,Hun,LY,51.3,overcast clouds,29.1268,15.9477,Alrwasi Hotel
36,Geraldton,AU,79.21,clear sky,-28.7667,114.6,Broadwater Mariner Resort
37,Tricase,IT,40.93,clear sky,39.9304,18.3553,Hotel Adriatico
38,Chuy,UY,63.55,overcast clouds,-33.6971,-53.4616,Nuevo Hotel Plaza
39,Laguna,US,55.69,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
40,Maceio,BR,76.44,broken clouds,-9.6658,-35.7353,Hotel Ponta Verde Maceió
42,Lompoc,US,52.7,mist,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
44,Cuamba,MZ,73.51,scattered clouds,-14.8031,36.5372,Hotel Vision
48,Kutum,SD,74.61,clear sky,14.2,24.6667,Dibbo areaمنطقة دبو
52,Kabinda,CD,74.32,light rain,-6.1333,24.4833,Village Mianda Mutole
55,Bredasdorp,ZA,71.11,few clouds,-34.5322,20.0403,Bredasdorp Country Manor
57,Kahului,US,73.85,broken clouds,20.8947,-156.47,Maui Seaside Hotel
58,Kaitangata,NZ,58.05,few clouds,-46.2817,169.8464,Kaitangata Motor Camp
61,Masallatah,LY,52.57,overcast clouds,32.6167,14.0,Mustafa Taher Sowaidan
62,Port Elizabeth,ZA,73.31,scattered clouds,-33.918,25.5701,39 On Nile Guest House
63,Sinnamary,GF,75.99,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
64,Cape Town,ZA,68.11,clear sky,-33.9258,18.4232,"Radisson Blu Hotel Waterfront, Cape Town"
67,Lebanon,US,51.46,broken clouds,36.2081,-86.2911,Hampton Inn & Suites Lebanon
68,Bubaque,GW,74.86,overcast clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
71,Ribeira Grande,PT,56.41,overcast clouds,38.5167,-28.7,Quinta da Meia Eira
72,Ryotsu,JP,41.45,overcast clouds,38.0833,138.4333,Sadokamoko Onsen Kohanno Yado Yoshidaya
73,Bani,DO,76.86,few clouds,18.2833,-70.3333,Hospedaje Henriquez
74,Atuona,PF,78.93,light rain,-9.8,-139.0333,Villa Enata
76,Namibe,AO,74.48,overcast clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
77,Puerto Ayora,EC,74.55,few clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
78,Souillac,MU,79.18,thunderstorm with light rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
80,Iquitos,PE,75.24,broken clouds,-3.7481,-73.2472,Cortez Malaga Techy Caroly
81,Umm Lajj,SA,72.07,clear sky,25.0213,37.2685,Moon light Furnished Units
82,Marienburg,PL,42.57,clear sky,54.0359,19.0266,Hotel Centrum Malbork
83,Bastos,BR,65.93,broken clouds,-21.9219,-50.7339,TSURU HOTEL POUSADA retomaremos as atividades a partir do dia 06 de abril de 2022.
84,Rapid Valley,US,44.33,clear sky,44.0625,-103.1463,Fairfield Inn & Suites by Marriott Rapid City
86,Saldanha,ZA,62.65,clear sky,-33.0117,17.9442,Blue Bay Lodge
88,Sao Joao Da Barra,BR,73.17,overcast clouds,-21.6403,-41.0511,Pousada Porto De Canoas
89,Punta Arenas,CL,44.71,clear sky,-53.15,-70.9167,Hotel Hain
93,Sao Filipe,CV,69.08,few clouds,14.8961,-24.4956,Hotel Xaguate
94,Komsomolskiy,UZ,48.92,broken clouds,40.4272,71.7189,Ikathouse
95,Caravelas,BR,74.62,clear sky,-17.7125,-39.2481,Pousada dos Navegantes
96,Cabo San Lucas,MX,72.52,overcast clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
97,Buraydah,SA,64.85,clear sky,26.326,43.975,Mövenpick Qassim
101,Port Alfred,ZA,75.49,clear sky,-33.5906,26.891,The Halyards Hotel
102,Mar Del Plata,AR,61.88,clear sky,-38.0023,-57.5575,Gran Hotel Mar del Plata
105,Carmarthen,GB,46.33,overcast clouds,51.8555,-4.3054,Ivy Bush Royal Hotel by Compass Hospitality
107,Muros,ES,51.67,overcast clouds,42.7762,-9.0603,Apartment Av. Castelao
110,Hilo,US,73.13,moderate rain,19.7297,-155.09,Hilo Hawaiian Hotel
113,Teguise,ES,53.82,few clouds,29.0605,-13.564,B&B La Casona de Nazaret
115,Naze,JP,68.92,broken clouds,28.3667,129.4833,Shishime Hotel
117,Hermanus,ZA,72.81,clear sky,-34.4187,19.2345,Misty Waves Boutique Hotel
121,Ponta Do Sol,PT,59.05,overcast clouds,32.6667,-17.1,Hotel do Campo
123,Chicama,PE,63.14,light rain,-7.8447,-79.1469,Balihai Bungalows
126,Arraial Do Cabo,BR,74.95,light rain,-22.9661,-42.0278,Pousada Porto Praia
127,Cidreira,BR,67.96,overcast clouds,-30.1811,-50.2056,Hotel Castelo
128,New Norfolk,AU,73.89,overcast clouds,-42.7826,147.0587,The Shingles Riverside Cottages
129,Iquique,CL,66.02,broken clouds,-20.2208,-70.1431,Backpacker`s Hostel Iquique
133,Hami,CN,48.6,overcast clouds,42.8,93.45,Laoyutang Resort
135,Praia Da Vitoria,PT,55.76,few clouds,38.7333,-27.0667,Hotel Branco I
137,Port Hardy,CA,44.6,overcast clouds,50.6996,-127.4199,Airport Inn-Port Hardy
139,Wilmington Island,US,53.98,clear sky,32.0036,-80.9737,Breezeway Studio Manor LLC
140,Hatillo,PR,74.1,clear sky,18.4863,-66.8254,El Buen Hotel
142,Bonthe,SL,74.57,overcast clouds,7.5264,-12.505,Bonthe Holiday Village
143,Hualmay,PE,69.08,overcast clouds,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
144,Fortuna,US,43.72,clear sky,40.5982,-124.1573,Super 8 by Wyndham Fortuna
145,Tucuman,AR,59.0,overcast clouds,-26.8241,-65.2226,Dallas Hotel Tucuman
146,Hervey Bay,AU,76.39,clear sky,-25.2986,152.8535,Shelly Bay Resort
153,Tromso,NO,42.82,light rain,69.6496,18.957,"Radisson Blu Hotel, Tromsø"
154,Requena,ES,47.52,overcast clouds,39.4883,-1.1004,Hotel Avenida
160,Thohoyandou,ZA,66.02,broken clouds,-22.9456,30.485,Masili Guesthouse & Conference
161,Cayenne,GF,79.09,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
162,Stephenville,US,61.92,scattered clouds,32.2207,-98.2023,La Quinta Inn & Suites by Wyndham Stephenville
165,Paducah,US,54.19,clear sky,37.0834,-88.6001,"Holiday Inn Paducah Riverfront, an IHG Hotel"
170,Robe,AU,63.25,few clouds,-37.1833,139.75,Harbour View Motel
172,Gimbi,ET,78.03,few clouds,9.1667,35.8333,Sam home
173,Basco,PH,78.46,overcast clouds,20.4487,121.9702,Nathaniel's Lodge
174,Lagoa,PT,54.66,overcast clouds,39.05,-27.9833,Casa Das Faias
175,Lebu,CL,55.96,scattered clouds,-37.6167,-73.65,Hostal Las Lilas
178,Mwinilunga,ZM,68.61,scattered clouds,-11.7358,24.4293,Kwakuwahi Lodge
179,Mattru,SL,73.49,overcast clouds,7.6244,-11.8332,"Mondkor Town, Bagbo Chiefdom, Bo District"
180,Rawson,AR,64.33,overcast clouds,-43.3002,-65.1023,Hosteria Sampedro
183,Pisco,PE,68.05,smoke,-13.7,-76.2167,Hotel San Isidro Oficial
185,Safaga,EG,65.34,clear sky,26.7292,33.9365,Lamar Resort Abu Soma
187,Basoko,CD,79.39,overcast clouds,1.2391,23.616,Jackyna Hotel
189,Bartica,GY,73.72,overcast clouds,6.4,-58.6167,Sloth Island Nature Resort
194,Muroto,JP,54.0,scattered clouds,33.2833,134.15,Oota Ryokan
201,Katsuura,JP,49.41,overcast clouds,35.1333,140.3,Katsuura Hotel Mikazuki
203,Staszow,PL,42.91,clear sky,50.5631,21.1659,"Hotel Rytwiany ""Pałac"""
205,Kimberley,ZA,64.09,clear sky,-28.7323,24.7623,Welgewandel Guesthouse
211,Tuatapere,NZ,57.16,scattered clouds,-46.1333,167.6833,Ron and Tony's Bed & Breakfast
213,Sorland,NO,44.46,overcast clouds,67.667,12.6934,Sjybrygga fiskecamp
214,Agua Blanca,GT,63.05,scattered clouds,14.5,-89.65,HOTEL CASA JUAN MANUEL
220,Axim,GH,79.38,broken clouds,4.8699,-2.2405,Axim Beach Resort And Spa
222,Antofagasta,CL,64.6,scattered clouds,-23.65,-70.4,"Holiday Inn Express Antofagasta, an IHG Hotel"
223,Westport,US,46.62,clear sky,41.1415,-73.3579,The Inn at Longshore
224,Kaeo,NZ,66.22,light rain,-35.1,173.7833,Bushido Lodge
227,Trairi,BR,74.88,broken clouds,-3.2778,-39.2689,janelas do mar
229,Najran,SA,75.85,clear sky,17.4924,44.1277,محمد هادي ال فطيح
230,Acarau,BR,76.57,overcast clouds,-2.8856,-40.12,castelo pizzaria
231,Dilla,ET,77.54,light rain,6.41,38.31,Afomiya Pension
233,Vao,NC,78.39,overcast clouds,-22.6667,167.4833,Hotel Kou-Bugny
234,Karpathos,GR,49.96,scattered clouds,35.507,27.2132,Alex
235,Kruisfontein,ZA,69.89,clear sky,-34.0033,24.7314,Oyster Bay House Rental
237,Nishihara,JP,76.28,broken clouds,26.1842,127.7558,Minshuku Agaihama
238,Shenjiamen,CN,51.82,overcast clouds,29.9576,122.298,Jinjiang Inn Zhoushan Putuo Shenjiamen
240,San Isidro,PE,65.79,clear sky,-12.1167,-77.05,Radisson Hotel Decapolis Miraflores
241,Chinsali,ZM,67.48,overcast clouds,-10.5414,32.0816,Chisakatu Guest House
243,Ulladulla,AU,78.76,clear sky,-35.35,150.4667,Sandpiper Motel
246,Ciudad Bolivar,VE,74.28,broken clouds,8.1222,-63.5497,Hotel Edi
249,Codrington,AU,64.4,overcast clouds,-38.2667,141.9667,Codrington Gardens Bed And Breakfast
250,Hasaki,JP,54.0,scattered clouds,35.7333,140.8333,Inubosaki Kanko Hotel
251,Saint George,US,48.94,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
252,Matamoros,MX,70.41,overcast clouds,25.5333,-103.25,Quinta Belem
256,Ruidoso,US,48.96,few clouds,33.3317,-105.673,Inn of the Mountain Gods
260,Montepuez,MZ,74.52,overcast clouds,-13.1256,38.9997,PembaAparthotel
262,Coquimbo,CL,61.65,clear sky,-29.9533,-71.3436,Hotel San Juan
263,Te Anau,NZ,59.9,overcast clouds,-45.4167,167.7167,Kingsgate Hotel Te Anau
265,General Pico,AR,62.51,overcast clouds,-35.6566,-63.7568,Euskadi Hotel
267,Albina,SR,73.15,overcast clouds,5.5,-54.05,Hudace
269,Tomatlan,MX,63.54,overcast clouds,19.9333,-105.25,El Salvial
271,Urumqi,CN,40.15,clear sky,43.801,87.6005,Hua Ling Grand Hotel Urumqi
272,Ucluelet,CA,45.09,overcast clouds,48.9329,-125.5528,Black Rock Oceanfront Resort
273,Makakilo City,US,74.28,light rain,21.3469,-158.0858,Marriott's Ko Olina Beach Club
275,Isla Mujeres,MX,77.16,clear sky,21.2311,-86.731,Hotel La Joya Isla Mujeres
276,Dengzhou,CN,43.29,overcast clouds,37.8086,120.7508,Greentree Inn Penglai Free Harbor Business Hotel
277,Puerto Del Rosario,ES,58.75,few clouds,28.5004,-13.8627,Hotel JM Puerto del Rosario
279,Kenora,CA,40.17,overcast clouds,49.8167,-94.4337,Maynard Lake Lodge
280,Ribeira Brava,PT,59.05,overcast clouds,32.65,-17.0667,Hotel do Campo
283,Weymouth,US,45.48,overcast clouds,42.2209,-70.9398,Arbor Inn Motor Lodge
284,Guerrero Negro,MX,57.56,few clouds,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
285,Farafangana,MG,77.23,light rain,-22.8167,47.8333,Miarina
286,Miyazu,JP,48.4,scattered clouds,35.5333,135.1833,Seikiro
287,Griffith,US,49.89,clear sky,41.5284,-87.4237,Apartment above Depot Bar
289,Alta Floresta,BR,69.58,overcast clouds,-9.8756,-56.0861,Floresta Amazonica Hotel
290,Tahta,EG,62.92,scattered clouds,26.7693,31.5021,فندق الزيات
292,Vestmanna,FO,43.72,overcast clouds,62.1564,-7.1664,Vestmanna Camping
295,Dalaba,GN,64.98,overcast clouds,10.7,-12.25,Hôtel Tangama
297,Maun,BW,72.73,few clouds,-19.9833,23.4167,Enviro Villa
299,Morgantown,US,41.76,clear sky,39.6295,-79.9559,Morgantown Marriott at Waterfront Place
302,Marsh Harbour,BS,73.42,overcast clouds,26.5412,-77.0636,Abaco Beach Resort
303,Dandong,CN,43.09,overcast clouds,40.1292,124.3947,Yiranju Farmstay
304,Jacareacanga,BR,72.32,overcast clouds,-6.2222,-57.7528,Casa do Ian😎
306,Tumaco,CO,76.33,overcast clouds,1.7986,-78.8156,Unión Victoria
310,Richland,US,40.19,few clouds,40.7834,-82.5499,Hampton Inn Mansfield/Ontario
312,Francisco Sa,BR,66.69,few clouds,-16.4758,-43.4883,Amaralina Hotel
314,Tottori,JP,50.07,broken clouds,35.5,134.2333,Hotel Monarque Tottori
315,Lucea,JM,75.06,scattered clouds,18.451,-78.1736,Grand Palladium Jamaica Resort & Spa
316,Tsuyama,JP,56.82,overcast clouds,35.05,134.0,Tsuyama Central Hotel Annex
319,Wanaka,NZ,60.58,overcast clouds,-44.7,169.15,Wanaka Homestead Lodge and Cottages
322,Salinopolis,BR,77.0,light rain,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
327,Saint-Francois,FR,49.68,clear sky,46.4154,3.9054,Manoir Du Bonheur
328,Kaabong,UG,79.79,clear sky,3.4836,34.1492,Rock Motel Ltd
331,Tayoltita,MX,55.17,few clouds,24.0833,-105.9333,Hotel Rivera Tayoltita
332,Vardo,NO,40.57,overcast clouds,70.3705,31.1107,Vardø Hotel AS
336,Vila,PT,47.28,overcast clouds,42.0304,-8.1588,Hotel Castrum Villae by Walk Hotels
338,Delta Del Tigre,UY,55.51,clear sky,-34.7633,-56.3853,FINCA SUAREZ
340,Kemise,ET,75.2,overcast clouds,10.7167,39.8667,Hussen Endris
341,Faya,SA,68.11,clear sky,18.3851,42.4509,املاك خالد الشعشوع
