City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Talnakh,RU,69.4865,88.3972,4.21,92,40,5.73,scattered clouds
1,Bluff,NZ,-46.6,168.3333,60.64,84,20,14.74,few clouds
2,Beloha,MG,-25.1667,45.05,79.05,49,2,15.52,clear sky
3,Klaksvik,FO,62.2266,-6.589,45.52,92,79,20.0,broken clouds
4,Nanortalik,GL,60.1432,-45.2371,11.25,73,0,6.17,clear sky
5,Kapaa,US,22.0752,-159.319,76.98,94,100,8.05,overcast clouds
6,East London,ZA,-33.0153,27.9116,70.74,88,0,4.61,clear sky
7,Izumo,JP,35.3667,132.7667,53.55,58,75,12.66,broken clouds
8,Alofi,NU,-19.0595,-169.9187,78.69,83,75,11.5,broken clouds
9,Monkey Bay,MW,-14.0728,34.9201,73.38,80,86,14.34,overcast clouds
10,Bengkulu,ID,-3.8004,102.2655,85.21,61,100,8.01,overcast clouds
11,Busselton,AU,-33.65,115.3333,77.94,38,0,8.05,clear sky
12,Tiksi,RU,71.6872,128.8694,0.28,91,41,5.75,scattered clouds
13,Kalispell,US,48.1958,-114.3129,36.77,59,100,4.61,overcast clouds
14,Rikitea,PF,-23.1203,-134.9692,79.84,73,1,14.16,clear sky
15,Albany,US,42.6001,-73.9662,39.61,81,24,10.0,few clouds
16,Matay,EG,28.419,30.7792,58.15,46,88,18.21,overcast clouds
17,Castro,BR,-24.7911,-50.0119,57.51,90,100,7.14,overcast clouds
18,Hambantota,LK,6.1241,81.1185,91.74,66,40,6.91,scattered clouds
19,Andenes,NO,69.3143,16.1194,42.78,75,75,29.93,light rain
20,Mataura,NZ,-46.1927,168.8643,60.98,71,16,5.75,few clouds
21,Wanxian,CN,30.8039,108.3897,52.86,91,100,5.55,overcast clouds
22,Beitbridge,ZW,-22.2167,30.0,71.44,59,8,14.25,clear sky
23,Kirakira,SB,-10.4544,161.9205,82.87,71,35,3.83,scattered clouds
24,Georgetown,MY,5.4112,100.3354,85.98,66,20,5.01,few clouds
25,Severo-Kurilsk,RU,50.6789,156.125,29.5,92,100,40.47,snow
26,Bethel,US,41.3712,-73.414,45.93,71,100,5.99,overcast clouds
27,Ushuaia,AR,-54.8,-68.3,46.06,87,20,4.61,few clouds
28,Akdepe,TM,42.0551,59.3788,44.87,31,5,1.19,clear sky
29,Tasiilaq,GL,65.6145,-37.6368,5.16,63,8,6.35,clear sky
30,Dunedin,NZ,-45.8742,170.5036,59.81,91,100,5.99,overcast clouds
31,Hobart,AU,-42.8794,147.3294,74.23,68,75,10.36,broken clouds
32,Sitka,US,57.0531,-135.33,42.69,61,100,16.11,overcast clouds
33,Hun,LY,29.1268,15.9477,51.3,68,97,12.97,overcast clouds
34,Zhezkazgan,KZ,47.8043,67.7144,22.98,42,0,15.66,clear sky
35,Tumut,AU,-35.3,148.2167,82.72,35,24,7.07,few clouds
36,Geraldton,AU,-28.7667,114.6,79.21,57,0,23.02,clear sky
37,Tricase,IT,39.9304,18.3553,40.93,65,0,4.61,clear sky
38,Chuy,UY,-33.6971,-53.4616,63.55,54,100,11.23,overcast clouds
39,Laguna,US,38.421,-121.4238,55.69,63,0,3.44,clear sky
40,Maceio,BR,-9.6658,-35.7353,76.44,94,75,3.44,broken clouds
41,Sungairaya,ID,0.7,108.9,86.95,65,85,5.7,overcast clouds
42,Lompoc,US,34.6391,-120.4579,52.7,86,0,9.22,mist
43,Srandakan,ID,-7.9386,110.2506,85.66,70,100,14.23,overcast clouds
44,Cuamba,MZ,-14.8031,36.5372,73.51,75,49,5.32,scattered clouds
45,Butaritari,KI,3.0707,172.7902,81.43,79,33,17.49,scattered clouds
46,Udachnyy,RU,66.4167,112.4,19.45,67,91,4.5,overcast clouds
47,Xichang,CN,27.8964,102.2634,84.52,19,1,13.73,clear sky
48,Kutum,SD,14.2,24.6667,74.61,5,0,6.98,clear sky
49,Jamestown,US,42.097,-79.2353,38.84,53,0,9.22,clear sky
50,Dikson,RU,73.5069,80.5464,-2.16,97,63,8.21,broken clouds
51,Khabary,RU,53.6259,79.5345,16.92,89,100,17.45,overcast clouds
52,Kabinda,CD,-6.1333,24.4833,74.32,82,97,2.3,light rain
53,Nikolskoye,RU,59.7035,30.7861,38.88,91,68,5.17,broken clouds
54,Lodwar,KE,3.1191,35.5973,90.1,38,2,21.79,clear sky
55,Bredasdorp,ZA,-34.5322,20.0403,71.11,74,11,10.6,few clouds
56,Dingle,PH,10.9995,122.6711,88.11,60,100,13.06,overcast clouds
57,Kahului,US,20.8947,-156.47,73.85,84,75,11.5,broken clouds
58,Kaitangata,NZ,-46.2817,169.8464,58.05,94,24,12.06,few clouds
59,Saint-Philippe,RE,-21.3585,55.7679,82.11,88,99,11.83,light rain
60,Torbay,CA,47.6666,-52.7314,32.29,96,100,25.32,mist
61,Masallatah,LY,32.6167,14.0,52.57,63,91,17.07,overcast clouds
62,Port Elizabeth,ZA,-33.918,25.5701,73.31,87,40,3.44,scattered clouds
63,Sinnamary,GF,5.3833,-52.95,75.99,85,99,11.48,overcast clouds
64,Cape Town,ZA,-33.9258,18.4232,68.11,83,0,9.22,clear sky
65,Mapulot,PH,14.0339,122.5408,88.47,60,56,6.49,light rain
66,Ilovlya,RU,49.3033,43.9796,32.94,99,100,10.11,overcast clouds
67,Lebanon,US,36.2081,-86.2911,51.46,78,75,0.0,broken clouds
68,Bubaque,GW,11.2833,-15.8333,74.86,66,100,8.01,overcast clouds
69,College,US,64.8569,-147.8028,8.55,54,0,9.22,clear sky
70,Saint-Joseph,RE,-21.3667,55.6167,81.1,84,91,13.33,light rain
71,Ribeira Grande,PT,38.5167,-28.7,56.41,65,100,27.72,overcast clouds
72,Ryotsu,JP,38.0833,138.4333,41.45,59,97,4.12,overcast clouds
73,Bani,DO,18.2833,-70.3333,76.86,84,15,8.21,few clouds
74,Atuona,PF,-9.8,-139.0333,78.93,80,72,17.34,light rain
75,Saskylakh,RU,71.9167,114.0833,11.93,93,100,1.12,overcast clouds
76,Namibe,AO,-15.1961,12.1522,74.48,75,95,0.69,overcast clouds
77,Puerto Ayora,EC,-0.7393,-90.3518,74.55,100,14,2.35,few clouds
78,Souillac,MU,-20.5167,57.5167,79.18,94,75,11.5,thunderstorm with light rain
79,Khatanga,RU,71.9667,102.5,6.46,92,100,7.9,overcast clouds
80,Iquitos,PE,-3.7481,-73.2472,75.24,100,75,0.0,broken clouds
81,Umm Lajj,SA,25.0213,37.2685,72.07,49,0,4.18,clear sky
82,Marienburg,PL,54.0359,19.0266,42.57,54,0,4.9,clear sky
83,Bastos,BR,-21.9219,-50.7339,65.93,81,79,13.73,broken clouds
84,Rapid Valley,US,44.0625,-103.1463,44.33,59,0,40.29,clear sky
85,Sola,VU,-13.8833,167.55,82.89,72,100,10.07,overcast clouds
86,Saldanha,ZA,-33.0117,17.9442,62.65,77,0,7.99,clear sky
87,Yellowknife,CA,62.456,-114.3525,26.42,93,75,6.91,broken clouds
88,Sao Joao Da Barra,BR,-21.6403,-41.0511,73.17,90,100,10.18,overcast clouds
89,Punta Arenas,CL,-53.15,-70.9167,44.71,87,0,17.27,clear sky
90,Hithadhoo,MV,-0.6,73.0833,83.98,71,23,15.73,few clouds
91,Longyearbyen,SJ,78.2186,15.6401,26.44,86,100,20.71,light snow
92,Along,IN,28.1667,94.7667,86.11,36,65,3.65,broken clouds
93,Sao Filipe,CV,14.8961,-24.4956,69.08,74,23,10.78,few clouds
94,Komsomolskiy,UZ,40.4272,71.7189,48.92,66,75,4.61,broken clouds
95,Caravelas,BR,-17.7125,-39.2481,74.62,86,0,1.79,clear sky
96,Cabo San Lucas,MX,22.8909,-109.9124,72.52,50,100,4.0,overcast clouds
97,Buraydah,SA,26.326,43.975,64.85,17,0,7.25,clear sky
98,Bairiki,KI,1.3292,172.9752,82.4,83,40,12.66,scattered clouds
99,Iqaluit,CA,63.7506,-68.5145,-6.07,71,100,2.3,overcast clouds
100,Labuhan,ID,-6.8844,112.2051,85.24,69,97,8.25,overcast clouds
101,Port Alfred,ZA,-33.5906,26.891,75.49,75,5,10.49,clear sky
102,Mar Del Plata,AR,-38.0023,-57.5575,61.88,79,0,25.99,clear sky
103,Paamiut,GL,61.994,-49.6678,-4.74,91,22,9.24,few clouds
104,Gonen,TR,40.1049,27.654,38.53,78,99,16.89,overcast clouds
105,Carmarthen,GB,51.8555,-4.3054,46.33,49,100,10.36,overcast clouds
106,Fort Nelson,CA,58.8053,-122.7002,15.39,92,75,6.91,broken clouds
107,Muros,ES,42.7762,-9.0603,51.67,88,97,3.22,overcast clouds
108,Mahebourg,MU,-20.4081,57.7,84.25,94,75,11.5,thunderstorm with light rain
109,Pevek,RU,69.7008,170.3133,-8.34,96,27,2.08,scattered clouds
110,Hilo,US,19.7297,-155.09,73.13,88,100,9.22,moderate rain
111,Chingirlau,KZ,51.095,54.0814,31.57,99,86,14.03,light snow
112,Thompson,CA,55.7435,-97.8558,15.96,67,0,6.91,clear sky
113,Teguise,ES,29.0605,-13.564,53.82,77,20,6.91,few clouds
114,Pokotylivka,UA,49.9153,36.1772,33.12,97,45,8.59,scattered clouds
115,Naze,JP,28.3667,129.4833,68.92,73,56,11.72,broken clouds
116,Broome,US,42.2506,-75.833,39.38,67,0,12.66,clear sky
117,Hermanus,ZA,-34.4187,19.2345,72.81,77,8,12.03,clear sky
118,Qaanaaq,GL,77.484,-69.3632,-6.39,94,100,9.46,overcast clouds
119,Zhengjiatun,CN,43.5064,123.5064,36.05,36,6,13.13,clear sky
120,Beringovskiy,RU,63.05,179.3167,15.31,92,100,8.01,overcast clouds
121,Ponta Do Sol,PT,32.6667,-17.1,59.05,69,89,5.23,overcast clouds
122,Yelizovo,RU,53.1873,158.3805,33.94,100,100,4.47,overcast clouds
123,Chicama,PE,-7.8447,-79.1469,63.14,80,100,4.18,light rain
124,Provideniya,RU,64.3833,-173.3,4.68,94,38,1.95,scattered clouds
125,Cootamundra,AU,-34.65,148.0333,84.94,29,5,3.22,clear sky
126,Arraial Do Cabo,BR,-22.9661,-42.0278,74.95,84,100,23.53,light rain
127,Cidreira,BR,-30.1811,-50.2056,67.96,58,100,14.76,overcast clouds
128,New Norfolk,AU,-42.7826,147.0587,73.89,45,100,1.99,overcast clouds
129,Iquique,CL,-20.2208,-70.1431,66.02,77,59,0.69,broken clouds
130,Ambulu,ID,-8.345,113.6058,83.08,79,88,3.6,overcast clouds
131,Norman Wells,CA,65.282,-126.8329,-0.36,71,100,17.27,light snow
132,Taga,RO,46.95,24.05,28.72,50,0,3.56,clear sky
133,Hami,CN,42.8,93.45,48.6,22,100,10.71,overcast clouds
134,Kendari,ID,-3.945,122.4989,82.44,77,100,5.3,moderate rain
135,Praia Da Vitoria,PT,38.7333,-27.0667,55.76,82,20,18.12,few clouds
136,Znamenskoye,RU,57.1281,73.8282,21.0,90,100,9.98,light snow
137,Port Hardy,CA,50.6996,-127.4199,44.6,87,100,21.85,overcast clouds
138,Bonavista,CA,48.6499,-53.1147,29.17,94,100,29.42,overcast clouds
139,Wilmington Island,US,32.0036,-80.9737,53.98,81,0,0.0,clear sky
140,Hatillo,PR,18.4863,-66.8254,74.1,87,0,3.0,clear sky
141,Umm Kaddadah,SD,13.6017,26.6876,80.28,6,0,15.61,clear sky
142,Bonthe,SL,7.5264,-12.505,74.57,83,99,5.79,overcast clouds
143,Hualmay,PE,-11.0964,-77.6139,69.08,86,91,7.23,overcast clouds
144,Fortuna,US,40.5982,-124.1573,43.72,89,0,0.0,clear sky
145,Tucuman,AR,-26.8241,-65.2226,59.0,100,100,3.44,overcast clouds
146,Hervey Bay,AU,-25.2986,152.8535,76.39,63,0,17.74,clear sky
147,Kattivakkam,IN,13.2167,80.3167,96.89,72,11,9.89,few clouds
148,Upernavik,GL,72.7868,-56.1549,-18.51,83,38,5.41,scattered clouds
149,Tiznit,MA,29.5833,-9.5,50.27,86,29,2.1,scattered clouds
150,Faanui,PF,-16.4833,-151.75,82.63,67,5,18.34,clear sky
151,Carnarvon,AU,-24.8667,113.6333,86.07,54,49,21.85,scattered clouds
152,Sisimiut,GL,66.9395,-53.6735,-9.89,76,5,8.14,clear sky
153,Tromso,NO,69.6496,18.957,42.82,56,40,29.93,light rain
154,Requena,ES,39.4883,-1.1004,47.52,97,100,12.73,overcast clouds
155,Kavieng,PG,-2.5744,150.7967,85.01,69,100,6.4,overcast clouds
156,Airai,TL,-8.9266,125.4092,70.74,76,100,1.59,overcast clouds
157,Svetlogorsk,BY,52.6333,29.7333,39.78,74,0,7.36,clear sky
158,Mount Isa,AU,-20.7333,139.5,98.37,20,70,11.5,broken clouds
159,Kodiak,US,57.79,-152.4072,36.91,75,75,8.05,broken clouds
160,Thohoyandou,ZA,-22.9456,30.485,66.02,67,66,6.13,broken clouds
161,Cayenne,GF,4.9333,-52.3333,79.09,1,75,8.05,broken clouds
162,Stephenville,US,32.2207,-98.2023,61.92,45,40,13.0,scattered clouds
163,Palana,RU,59.1167,159.9667,28.94,78,80,10.69,broken clouds
164,Kungurtug,RU,50.5994,97.5228,23.95,63,67,2.68,broken clouds
165,Paducah,US,37.0834,-88.6001,54.19,63,0,4.61,clear sky
166,Bulaevo,KZ,54.9056,70.4439,20.82,92,100,13.91,light snow
167,Khandagayty,RU,50.7333,92.05,13.44,87,100,4.0,overcast clouds
168,Deputatskiy,RU,69.3,139.9,-7.49,98,58,2.26,broken clouds
169,Mudanjiang,CN,44.5833,129.6,34.63,71,100,8.93,light snow
170,Robe,AU,-37.1833,139.75,63.25,78,20,13.8,few clouds
171,Yuksekova,TR,37.5736,44.2872,29.95,59,75,11.5,broken clouds
172,Gimbi,ET,9.1667,35.8333,78.03,26,13,4.54,few clouds
173,Basco,PH,20.4487,121.9702,78.46,88,90,18.21,overcast clouds
174,Lagoa,PT,39.05,-27.9833,54.66,66,100,32.26,overcast clouds
175,Lebu,CL,-37.6167,-73.65,55.96,92,47,4.36,scattered clouds
176,Leningradskiy,RU,69.3833,178.4167,-6.5,91,13,3.27,few clouds
177,Avarua,CK,-21.2078,-159.775,80.65,83,40,5.75,scattered clouds
178,Mwinilunga,ZM,-11.7358,24.4293,68.61,86,36,6.26,scattered clouds
179,Mattru,SL,7.6244,-11.8332,73.49,88,100,3.09,overcast clouds
180,Rawson,AR,-43.3002,-65.1023,64.33,46,99,21.63,overcast clouds
181,Vaini,TO,-21.2,-175.2,81.37,70,100,14.47,overcast clouds
182,Hobyo,SO,5.3505,48.5268,82.94,60,4,13.33,clear sky
183,Pisco,PE,-13.7,-76.2167,68.05,83,100,4.61,smoke
184,Wajir,KE,1.7471,40.0573,82.36,57,40,10.36,scattered clouds
185,Safaga,EG,26.7292,33.9365,65.34,47,5,12.01,clear sky
186,Ayagoz,KZ,47.9714,80.4392,26.29,80,77,13.04,broken clouds
187,Basoko,CD,1.2391,23.616,79.39,67,94,3.31,overcast clouds
188,Alamosa,US,37.4695,-105.87,37.38,38,0,4.61,clear sky
189,Bartica,GY,6.4,-58.6167,73.72,98,91,2.04,overcast clouds
190,Anadyr,RU,64.75,177.4833,19.9,68,84,2.24,fog
191,Katherine,AU,-14.4667,132.2667,100.72,25,100,10.36,overcast clouds
192,Eskisehir,TR,39.7767,30.5206,26.51,63,0,5.75,clear sky
193,Berdigestyakh,RU,62.0989,126.6992,20.62,83,100,1.77,overcast clouds
194,Muroto,JP,33.2833,134.15,54.0,63,39,10.6,scattered clouds
195,Kologriv,RU,58.8275,44.3178,34.56,76,10,12.86,clear sky
196,Yulara,AU,-25.2406,130.9889,98.44,11,0,8.05,clear sky
197,Leh,IN,34.1667,77.5833,31.48,57,25,3.78,scattered clouds
198,Chokurdakh,RU,70.6333,147.9167,-4.56,91,98,5.5,overcast clouds
199,Aketi,CD,2.7388,23.7833,82.36,59,30,3.04,scattered clouds
200,Aranos,NA,-24.1333,19.1167,70.81,63,65,13.73,broken clouds
201,Katsuura,JP,35.1333,140.3,49.41,70,100,9.37,overcast clouds
202,Pryamitsyno,RU,51.6561,35.9314,36.14,100,8,7.7,clear sky
203,Staszow,PL,50.5631,21.1659,42.91,49,0,6.29,clear sky
204,Tambovka,RU,50.0969,128.0489,27.63,71,96,6.4,overcast clouds
205,Kimberley,ZA,-28.7323,24.7623,64.09,88,0,5.75,clear sky
206,Rexburg,US,43.826,-111.7897,28.38,46,0,0.0,clear sky
207,Borsec,RO,46.95,25.5667,24.21,74,9,4.45,clear sky
208,Roebourne,AU,-20.7833,117.1333,97.36,37,93,15.23,overcast clouds
209,Okhotsk,RU,59.3833,143.3,24.69,70,100,17.11,overcast clouds
210,Nizwa,OM,22.9333,57.5333,85.66,12,0,5.3,clear sky
211,Tuatapere,NZ,-46.1333,167.6833,57.16,91,50,4.61,scattered clouds
212,Cherskiy,RU,68.75,161.3,12.54,80,100,7.63,overcast clouds
213,Sorland,NO,67.667,12.6934,44.46,89,100,28.74,overcast clouds
214,Agua Blanca,GT,14.5,-89.65,63.05,87,36,5.44,scattered clouds
215,Victoria,HK,22.2855,114.1577,85.17,87,59,7.0,broken clouds
216,Srednekolymsk,RU,67.45,153.6833,14.04,87,100,19.06,overcast clouds
217,Sibu,MY,2.3,111.8167,91.71,58,40,2.3,scattered clouds
218,Tuktoyaktuk,CA,69.4541,-133.0374,-20.31,100,100,5.95,overcast clouds
219,Nuuk,GL,64.1835,-51.7216,-13.41,91,8,7.61,clear sky
220,Axim,GH,4.8699,-2.2405,79.38,84,84,3.42,broken clouds
221,Uray,RU,60.1247,64.7758,28.45,92,100,12.44,light snow
222,Antofagasta,CL,-23.65,-70.4,64.6,82,49,1.77,scattered clouds
223,Westport,US,41.1415,-73.3579,46.62,61,0,10.36,clear sky
224,Kaeo,NZ,-35.1,173.7833,66.22,91,13,6.11,light rain
225,Waingapu,ID,-9.6567,120.2641,86.31,70,88,6.93,overcast clouds
226,Sibolga,ID,1.7427,98.7792,85.75,63,98,5.82,overcast clouds
227,Trairi,BR,-3.2778,-39.2689,74.88,92,66,5.59,broken clouds
228,Sioux Lookout,CA,50.1001,-91.917,32.07,55,40,6.91,scattered clouds
229,Najran,SA,17.4924,44.1277,75.85,26,5,4.92,clear sky
230,Acarau,BR,-2.8856,-40.12,76.57,87,95,7.72,overcast clouds
231,Dilla,ET,6.41,38.31,77.54,47,37,4.54,light rain
232,Baijiantan,CN,45.6333,85.1833,43.09,41,9,1.45,clear sky
233,Vao,NC,-22.6667,167.4833,78.39,73,99,14.63,overcast clouds
234,Karpathos,GR,35.507,27.2132,49.96,62,40,13.8,scattered clouds
